date,iso_week,fiscal_period,holiday_flag,season
2023-06-05,2023-W23,2023-2Q06,0,Summer
2023-06-12,2023-W24,2023-2Q06,0,Summer
2023-06-19,2023-W25,2023-2Q06,0,Summer
2023-06-26,2023-W26,2023-2Q06,0,Summer
2023-07-03,2023-W27,2023-3Q07,0,Summer
2023-07-10,2023-W28,2023-3Q07,0,Summer
2023-07-17,2023-W29,2023-3Q07,0,Summer
2023-07-24,2023-W30,2023-3Q07,0,Summer
2023-07-31,2023-W31,2023-3Q07,0,Summer
2023-08-07,2023-W32,2023-3Q08,0,Summer
2023-08-14,2023-W33,2023-3Q08,0,Summer
2023-08-21,2023-W34,2023-3Q08,0,Summer
2023-08-28,2023-W35,2023-3Q08,0,Summer
2023-09-04,2023-W36,2023-3Q09,0,Regular
2023-09-11,2023-W37,2023-3Q09,0,Regular
2023-09-18,2023-W38,2023-3Q09,0,Regular
2023-09-25,2023-W39,2023-3Q09,0,Regular
2023-10-02,2023-W40,2023-4Q10,0,Regular
2023-10-09,2023-W41,2023-4Q10,0,Regular
2023-10-16,2023-W42,2023-4Q10,0,Regular
2023-10-23,2023-W43,2023-4Q10,0,Regular
2023-10-30,2023-W44,2023-4Q10,0,Regular
2023-11-06,2023-W45,2023-4Q11,1,Holiday
2023-11-13,2023-W46,2023-4Q11,1,Holiday
2023-11-20,2023-W47,2023-4Q11,1,Holiday
2023-11-27,2023-W48,2023-4Q11,1,Holiday
2023-12-04,2023-W49,2023-4Q12,1,Holiday
2023-12-11,2023-W50,2023-4Q12,1,Holiday
2023-12-18,2023-W51,2023-4Q12,1,Holiday
2023-12-25,2023-W52,2023-4Q12,1,Holiday
2024-01-01,2024-W01,2024-1Q01,0,Post-Holiday
2024-01-08,2024-W02,2024-1Q01,0,Post-Holiday
2024-01-15,2024-W03,2024-1Q01,0,Post-Holiday
2024-01-22,2024-W04,2024-1Q01,0,Post-Holiday
2024-01-29,2024-W05,2024-1Q01,0,Post-Holiday
2024-02-05,2024-W06,2024-1Q02,0,Post-Holiday
2024-02-12,2024-W07,2024-1Q02,0,Post-Holiday
2024-02-19,2024-W08,2024-1Q02,0,Post-Holiday
2024-02-26,2024-W09,2024-1Q02,0,Post-Holiday
2024-03-04,2024-W10,2024-1Q03,0,Regular
2024-03-11,2024-W11,2024-1Q03,0,Regular
2024-03-18,2024-W12,2024-1Q03,0,Regular
2024-03-25,2024-W13,2024-1Q03,0,Regular
2024-04-01,2024-W14,2024-2Q04,0,Regular
2024-04-08,2024-W15,2024-2Q04,0,Regular
2024-04-15,2024-W16,2024-2Q04,0,Regular
2024-04-22,2024-W17,2024-2Q04,0,Regular
2024-04-29,2024-W18,2024-2Q04,0,Regular
2024-05-06,2024-W19,2024-2Q05,0,Regular
2024-05-13,2024-W20,2024-2Q05,0,Regular
2024-05-20,2024-W21,2024-2Q05,0,Regular
2024-05-27,2024-W22,2024-2Q05,0,Regular
2024-06-03,2024-W23,2024-2Q06,0,Summer
2024-06-10,2024-W24,2024-2Q06,0,Summer
2024-06-17,2024-W25,2024-2Q06,0,Summer
2024-06-24,2024-W26,2024-2Q06,0,Summer
2024-07-01,2024-W27,2024-3Q07,0,Summer
2024-07-08,2024-W28,2024-3Q07,0,Summer
2024-07-15,2024-W29,2024-3Q07,0,Summer
2024-07-22,2024-W30,2024-3Q07,0,Summer
2024-07-29,2024-W31,2024-3Q07,0,Summer
2024-08-05,2024-W32,2024-3Q08,0,Summer
2024-08-12,2024-W33,2024-3Q08,0,Summer
2024-08-19,2024-W34,2024-3Q08,0,Summer
2024-08-26,2024-W35,2024-3Q08,0,Summer
2024-09-02,2024-W36,2024-3Q09,0,Regular
2024-09-09,2024-W37,2024-3Q09,0,Regular
2024-09-16,2024-W38,2024-3Q09,0,Regular
2024-09-23,2024-W39,2024-3Q09,0,Regular
2024-09-30,2024-W40,2024-3Q09,0,Regular
2024-10-07,2024-W41,2024-4Q10,0,Regular
2024-10-14,2024-W42,2024-4Q10,0,Regular
2024-10-21,2024-W43,2024-4Q10,0,Regular
2024-10-28,2024-W44,2024-4Q10,0,Regular
2024-11-04,2024-W45,2024-4Q11,1,Holiday
2024-11-11,2024-W46,2024-4Q11,1,Holiday
2024-11-18,2024-W47,2024-4Q11,1,Holiday
2024-11-25,2024-W48,2024-4Q11,1,Holiday
2024-12-02,2024-W49,2024-4Q12,1,Holiday
2024-12-09,2024-W50,2024-4Q12,1,Holiday
2024-12-16,2024-W51,2024-4Q12,1,Holiday
2024-12-23,2024-W52,2024-4Q12,1,Holiday
2024-12-30,2025-W01,2024-4Q12,1,Holiday
2025-01-06,2025-W02,2025-1Q01,0,Post-Holiday
2025-01-13,2025-W03,2025-1Q01,0,Post-Holiday
2025-01-20,2025-W04,2025-1Q01,0,Post-Holiday
2025-01-27,2025-W05,2025-1Q01,0,Post-Holiday
2025-02-03,2025-W06,2025-1Q02,0,Post-Holiday
2025-02-10,2025-W07,2025-1Q02,0,Post-Holiday
2025-02-17,2025-W08,2025-1Q02,0,Post-Holiday
2025-02-24,2025-W09,2025-1Q02,0,Post-Holiday
2025-03-03,2025-W10,2025-1Q03,0,Regular
2025-03-10,2025-W11,2025-1Q03,0,Regular
2025-03-17,2025-W12,2025-1Q03,0,Regular
2025-03-24,2025-W13,2025-1Q03,0,Regular
2025-03-31,2025-W14,2025-1Q03,0,Regular
2025-04-07,2025-W15,2025-2Q04,0,Regular
2025-04-14,2025-W16,2025-2Q04,0,Regular
2025-04-21,2025-W17,2025-2Q04,0,Regular
2025-04-28,2025-W18,2025-2Q04,0,Regular
2025-05-05,2025-W19,2025-2Q05,0,Regular
2025-05-12,2025-W20,2025-2Q05,0,Regular
2025-05-19,2025-W21,2025-2Q05,0,Regular
2025-05-26,2025-W22,2025-2Q05,0,Regular
2025-06-02,2025-W23,2025-2Q06,0,Summer
2025-06-09,2025-W24,2025-2Q06,0,Summer
2025-06-16,2025-W25,2025-2Q06,0,Summer
2025-06-23,2025-W26,2025-2Q06,0,Summer
2025-06-30,2025-W27,2025-2Q06,0,Summer
2025-07-07,2025-W28,2025-3Q07,0,Summer
2025-07-14,2025-W29,2025-3Q07,0,Summer
2025-07-21,2025-W30,2025-3Q07,0,Summer
2025-07-28,2025-W31,2025-3Q07,0,Summer
2025-08-04,2025-W32,2025-3Q08,0,Summer
2025-08-11,2025-W33,2025-3Q08,0,Summer
2025-08-18,2025-W34,2025-3Q08,0,Summer
2025-08-25,2025-W35,2025-3Q08,0,Summer
2025-09-01,2025-W36,2025-3Q09,0,Regular
2025-09-08,2025-W37,2025-3Q09,0,Regular
2025-09-15,2025-W38,2025-3Q09,0,Regular
2025-09-22,2025-W39,2025-3Q09,0,Regular
2025-09-29,2025-W40,2025-3Q09,0,Regular
2025-10-06,2025-W41,2025-4Q10,0,Regular
2025-10-13,2025-W42,2025-4Q10,0,Regular
2025-10-20,2025-W43,2025-4Q10,0,Regular
2025-10-27,2025-W44,2025-4Q10,0,Regular
2025-11-03,2025-W45,2025-4Q11,1,Holiday
2025-11-10,2025-W46,2025-4Q11,1,Holiday
