promo_id,name,mechanic,discount_depth_pct,funding_type,start_date,end_date
PROMO_5000,TPR 37% 2026-04-20,TPR,0.37,Retailer,2026-04-20,2026-04-27
PROMO_5001,Feature 18% 2023-10-30,Feature,0.18,Vendor,2023-10-30,2023-11-13
PROMO_5002,TPR 11% 2026-06-01,TPR,0.11,Retailer,2026-06-01,2026-06-15
PROMO_5003,Feature 27% 2023-10-02,Feature,0.27,Retailer,2023-10-02,2023-10-16
PROMO_5004,TPR 11% 2024-01-29,TPR,0.11,Retailer,2024-01-29,2024-01-29
PROMO_5005,TPR 32% 2024-05-06,TPR,0.32,Retailer,2024-05-06,2024-05-13
PROMO_5006,Coupon 32% 2023-12-11,Coupon,0.32,Retailer,2023-12-11,2023-12-11
PROMO_5007,Coupon 20% 2026-08-03,Coupon,0.2,Retailer,2026-08-03,2026-08-10
PROMO_5008,Display 32% 2025-06-30,Display,0.32,Vendor,2025-06-30,2025-07-14
PROMO_5009,Display 33% 2025-03-03,Display,0.33,Vendor,2025-03-03,2025-03-17
PROMO_5010,Display 37% 2025-02-24,Display,0.37,Retailer,2025-02-24,2025-02-24
PROMO_5011,Coupon 24% 2023-10-09,Coupon,0.24,Vendor,2023-10-09,2023-10-16
PROMO_5012,TPR 39% 2024-10-21,TPR,0.39,Vendor,2024-10-21,2024-11-04
PROMO_5013,Display 12% 2025-03-17,Display,0.12,Retailer,2025-03-17,2025-03-24
PROMO_5014,Display 19% 2024-05-27,Display,0.19,Retailer,2024-05-27,2024-06-03
PROMO_5015,Display 33% 2024-06-17,Display,0.33,Retailer,2024-06-17,2024-07-01
PROMO_5016,Display 33% 2023-12-18,Display,0.33,Vendor,2023-12-18,2024-01-01
PROMO_5017,TPR 20% 2024-04-15,TPR,0.2,Vendor,2024-04-15,2024-04-22
PROMO_5018,Feature 32% 2024-03-18,Feature,0.32,Retailer,2024-03-18,2024-03-25
PROMO_5019,Display 24% 2025-02-10,Display,0.24,Vendor,2025-02-10,2025-02-10
PROMO_5020,TPR 18% 2024-02-12,TPR,0.18,Vendor,2024-02-12,2024-02-19
PROMO_5021,TPR 17% 2026-02-09,TPR,0.17,Retailer,2026-02-09,2026-02-09
PROMO_5022,TPR 35% 2025-01-20,TPR,0.35,Retailer,2025-01-20,2025-01-27
PROMO_5023,Feature 36% 2024-08-26,Feature,0.36,Vendor,2024-08-26,2024-09-02
PROMO_5024,Coupon 30% 2025-10-20,Coupon,0.3,Vendor,2025-10-20,2025-10-20
PROMO_5025,Feature 15% 2023-07-10,Feature,0.15,Vendor,2023-07-10,2023-07-10
PROMO_5026,Coupon 38% 2024-04-15,Coupon,0.38,Retailer,2024-04-15,2024-04-29
PROMO_5027,Feature 24% 2024-08-05,Feature,0.24,Vendor,2024-08-05,2024-08-12
PROMO_5028,Display 10% 2024-08-05,Display,0.1,Vendor,2024-08-05,2024-08-12
PROMO_5029,Feature 12% 2024-11-25,Feature,0.12,Retailer,2024-11-25,2024-12-02
PROMO_5030,Display 11% 2023-06-12,Display,0.11,Vendor,2023-06-12,2023-06-12
PROMO_5031,Coupon 31% 2025-01-27,Coupon,0.31,Vendor,2025-01-27,2025-02-10
PROMO_5032,Feature 32% 2023-11-13,Feature,0.32,Vendor,2023-11-13,2023-11-20
PROMO_5033,Display 24% 2025-01-27,Display,0.24,Vendor,2025-01-27,2025-02-10
PROMO_5034,Display 22% 2024-12-02,Display,0.22,Vendor,2024-12-02,2024-12-09
