product_id,site_id,week,on_hand,in_transit
NWO-1001,DC_NORTH,2023-06-05,252,172
NWO-1001,DC_NORTH,2023-06-12,472,152
NWO-1001,DC_NORTH,2023-06-19,265,99
NWO-1001,DC_NORTH,2023-06-26,227,98
NWO-1001,DC_NORTH,2023-07-03,224,131
NWO-1001,DC_NORTH,2023-07-10,344,138
NWO-1001,DC_NORTH,2023-07-17,333,120
NWO-1001,DC_NORTH,2023-07-24,350,109
NWO-1001,DC_NORTH,2023-07-31,237,127
NWO-1001,DC_NORTH,2023-08-07,376,137
NWO-1001,DC_NORTH,2023-08-14,424,95
NWO-1001,DC_NORTH,2023-08-21,306,119
NWO-1001,DC_NORTH,2023-08-28,408,117
NWO-1001,DC_NORTH,2023-09-04,400,111
NWO-1001,DC_NORTH,2023-09-11,266,82
NWO-1001,DC_NORTH,2023-09-18,186,74
NWO-1001,DC_NORTH,2023-09-25,244,168
NWO-1001,DC_NORTH,2023-10-02,504,206
NWO-1001,DC_NORTH,2023-10-09,403,233
NWO-1001,DC_NORTH,2023-10-16,451,101
NWO-1001,DC_NORTH,2023-10-23,351,81
NWO-1001,DC_NORTH,2023-10-30,220,219
NWO-1001,DC_NORTH,2023-11-06,590,160
NWO-1001,DC_NORTH,2023-11-13,463,141
NWO-1001,DC_NORTH,2023-11-20,410,114
NWO-1001,DC_NORTH,2023-11-27,323,163
NWO-1001,DC_NORTH,2023-12-04,482,187
NWO-1001,DC_NORTH,2023-12-11,440,183
NWO-1001,DC_NORTH,2023-12-18,641,196
NWO-1001,DC_NORTH,2023-12-25,683,72
NWO-1001,DC_NORTH,2024-01-01,200,116
NWO-1001,DC_NORTH,2024-01-08,268,104
NWO-1001,DC_NORTH,2024-01-15,260,101
NWO-1001,DC_NORTH,2024-01-22,276,96
NWO-1001,DC_NORTH,2024-01-29,308,111
NWO-1001,DC_NORTH,2024-02-05,351,92
NWO-1001,DC_NORTH,2024-02-12,184,73
NWO-1001,DC_NORTH,2024-02-19,255,114
NWO-1001,DC_NORTH,2024-02-26,248,130
NWO-1001,DC_NORTH,2024-03-04,343,105
NWO-1001,DC_NORTH,2024-03-11,278,129
NWO-1001,DC_NORTH,2024-03-18,281,118
NWO-1001,DC_NORTH,2024-03-25,255,111
NWO-1001,DC_NORTH,2024-04-01,335,118
NWO-1001,DC_NORTH,2024-04-08,411,129
NWO-1001,DC_NORTH,2024-04-15,423,149
NWO-1001,DC_NORTH,2024-04-22,299,106
NWO-1001,DC_NORTH,2024-04-29,293,100
NWO-1001,DC_NORTH,2024-05-06,405,101
NWO-1001,DC_NORTH,2024-05-13,335,112
NWO-1001,DC_NORTH,2024-05-20,330,99
NWO-1001,DC_NORTH,2024-05-27,245,137
NWO-1001,DC_NORTH,2024-06-03,354,175
NWO-1001,DC_NORTH,2024-06-10,382,158
NWO-1001,DC_NORTH,2024-06-17,418,188
NWO-1001,DC_NORTH,2024-06-24,390,138
NWO-1001,DC_NORTH,2024-07-01,452,122
NWO-1001,DC_NORTH,2024-07-08,450,192
NWO-1001,DC_NORTH,2024-07-15,455,131
NWO-1001,DC_NORTH,2024-07-22,273,204
NWO-1001,DC_NORTH,2024-07-29,580,108
NWO-1001,DC_NORTH,2024-08-05,388,134
NWO-1001,DC_NORTH,2024-08-12,393,237
NWO-1001,DC_NORTH,2024-08-19,635,168
NWO-1001,DC_NORTH,2024-08-26,380,111
NWO-1001,DC_NORTH,2024-09-02,331,132
NWO-1001,DC_NORTH,2024-09-09,288,120
NWO-1001,DC_NORTH,2024-09-16,393,139
NWO-1001,DC_NORTH,2024-09-23,369,92
NWO-1001,DC_NORTH,2024-09-30,199,208
NWO-1001,DC_NORTH,2024-10-07,490,122
NWO-1001,DC_NORTH,2024-10-14,314,157
