product_id,customer_id,promo_id,week,on_promo,planned_lift_pct,actual_lift_pct,promo_price
NWO-1001,CUST_CLUB,PROMO_5000,2026-04-20,1,0.3,0.31,125.78
NWO-1001,CUST_CLUB,PROMO_5000,2026-04-27,1,0.3,0.29,125.78
NWO-1001,CUST_MEGA,PROMO_5001,2023-10-30,1,0.99,1.02,163.71
NWO-1001,CUST_MEGA,PROMO_5001,2023-11-06,1,0.99,1.14,163.71
NWO-1001,CUST_MEGA,PROMO_5001,2023-11-13,1,0.99,0.85,163.71
NWO-1001,CUST_STREAM,PROMO_5002,2026-06-01,1,0.87,0.84,177.69
NWO-1001,CUST_STREAM,PROMO_5002,2026-06-08,1,0.87,,
NWO-1001,CUST_STREAM,PROMO_5002,2026-06-15,1,0.87,,
NWO-1001,CUST_NEST,PROMO_5003,2023-10-02,1,0.56,0.66,145.74
NWO-1001,CUST_NEST,PROMO_5003,2023-10-09,1,0.56,0.52,145.74
NWO-1001,CUST_NEST,PROMO_5003,2023-10-16,1,0.56,0.54,145.74
NWO-1001,CUST_STREAM,PROMO_5004,2024-01-29,1,0.45,0.55,177.69
NWO-1002,CUST_STREAM,PROMO_5005,2024-05-06,1,0.59,0.76,96.38
NWO-1002,CUST_STREAM,PROMO_5005,2024-05-13,1,0.59,0.59,96.38
NWO-1002,CUST_MEGA,PROMO_5006,2023-12-11,1,0.77,0.75,96.38
NWO-1002,CUST_CLUB,PROMO_5007,2026-08-03,1,0.41,,
NWO-1002,CUST_CLUB,PROMO_5007,2026-08-10,1,0.41,,
NWO-1002,CUST_STREAM,PROMO_5008,2025-06-30,1,0.31,0.35,96.38
NWO-1002,CUST_STREAM,PROMO_5008,2025-07-07,1,0.31,0.32,96.38
NWO-1002,CUST_STREAM,PROMO_5008,2025-07-14,1,0.31,0.25,96.38
NWO-1002,CUST_DIRECT,PROMO_5009,2025-03-03,1,0.55,0.59,94.97
NWO-1002,CUST_DIRECT,PROMO_5009,2025-03-10,1,0.55,0.48,94.97
NWO-1002,CUST_DIRECT,PROMO_5009,2025-03-17,1,0.55,0.55,94.97
NWO-1002,CUST_DIRECT,PROMO_5010,2025-02-24,1,0.78,0.78,89.3
NWO-1003,CUST_CLUB,PROMO_5011,2023-10-09,1,0.36,0.34,86.55
NWO-1003,CUST_CLUB,PROMO_5011,2023-10-16,1,0.36,0.44,86.55
NWO-1003,CUST_CLUB,PROMO_5012,2024-10-21,1,0.84,0.88,69.47
NWO-1003,CUST_CLUB,PROMO_5012,2024-10-28,1,0.84,0.85,69.47
NWO-1003,CUST_CLUB,PROMO_5012,2024-11-04,1,0.84,0.72,69.47
NWO-1003,CUST_CLUB,PROMO_5013,2025-03-17,1,0.47,0.48,100.21
NWO-1003,CUST_CLUB,PROMO_5013,2025-03-24,1,0.47,0.48,100.21
NWO-1004,CUST_STREAM,PROMO_5014,2024-05-27,1,0.61,0.73,58.55
NWO-1004,CUST_STREAM,PROMO_5014,2024-06-03,1,0.61,0.62,58.55
NWO-1004,CUST_STREAM,PROMO_5015,2024-06-17,1,1.06,1.02,48.43
NWO-1004,CUST_STREAM,PROMO_5015,2024-06-24,1,1.06,1.03,48.43
NWO-1004,CUST_STREAM,PROMO_5015,2024-07-01,1,1.06,1.0,48.43
NWO-1004,CUST_NEST,PROMO_5016,2023-12-18,1,0.27,0.27,48.43
NWO-1004,CUST_NEST,PROMO_5016,2023-12-25,1,0.27,0.33,48.43
NWO-1004,CUST_NEST,PROMO_5016,2024-01-01,1,0.27,0.18,48.43
NWO-1004,CUST_MEGA,PROMO_5017,2024-04-15,1,0.96,1.0,57.82
NWO-1004,CUST_MEGA,PROMO_5017,2024-04-22,1,0.96,0.96,57.82
NWO-1004,CUST_MEGA,PROMO_5018,2024-03-18,1,0.67,0.61,49.15
NWO-1004,CUST_MEGA,PROMO_5018,2024-03-25,1,0.67,0.88,49.15
NWO-1004,CUST_NEST,PROMO_5019,2025-02-10,1,0.52,0.54,54.93
NWO-1004,CUST_STREAM,PROMO_5020,2024-02-12,1,0.96,0.89,59.27
NWO-1004,CUST_STREAM,PROMO_5020,2024-02-19,1,0.96,1.03,59.27
NWO-1004,CUST_DIRECT,PROMO_5021,2026-02-09,1,0.29,0.26,59.99
NWO-1004,CUST_STREAM,PROMO_5022,2025-01-20,1,0.97,0.98,46.98
NWO-1004,CUST_STREAM,PROMO_5022,2025-01-27,1,0.97,1.05,46.98
NWO-1005,CUST_NEST,PROMO_5023,2024-08-26,1,0.55,0.63,63.78
NWO-1005,CUST_NEST,PROMO_5023,2024-09-02,1,0.55,0.53,63.78
NWO-1005,CUST_NEST,PROMO_5024,2025-10-20,1,0.41,0.32,69.75
NWO-1005,CUST_DIRECT,PROMO_5025,2023-07-10,1,0.86,0.86,84.7
NWO-1005,CUST_NEST,PROMO_5026,2024-04-15,1,0.35,0.5,61.78
NWO-1005,CUST_NEST,PROMO_5026,2024-04-22,1,0.35,0.28,61.78
NWO-1005,CUST_NEST,PROMO_5026,2024-04-29,1,0.35,0.29,61.78
NWO-1005,CUST_NEST,PROMO_5027,2024-08-05,1,0.32,0.26,75.73
NWO-1005,CUST_NEST,PROMO_5027,2024-08-12,1,0.32,0.36,75.73
NWO-1006,CUST_MEGA,PROMO_5028,2024-08-05,1,0.77,0.8,39.37
NWO-1006,CUST_MEGA,PROMO_5028,2024-08-12,1,0.77,0.9,39.37
NWO-1006,CUST_NEST,PROMO_5029,2024-11-25,1,0.65,0.57,38.49
NWO-1006,CUST_NEST,PROMO_5029,2024-12-02,1,0.65,0.71,38.49
NWO-1006,CUST_MEGA,PROMO_5030,2023-06-12,1,0.76,0.87,38.93
NWO-1006,CUST_CLUB,PROMO_5031,2025-01-27,1,1.03,1.02,30.18
NWO-1006,CUST_CLUB,PROMO_5031,2025-02-03,1,1.03,0.95,30.18
NWO-1006,CUST_CLUB,PROMO_5031,2025-02-10,1,1.03,0.99,30.18
NWO-1006,CUST_STREAM,PROMO_5032,2023-11-13,1,1.12,0.96,29.74
NWO-1006,CUST_STREAM,PROMO_5032,2023-11-20,1,1.12,1.12,29.74
NWO-1006,CUST_DIRECT,PROMO_5033,2025-01-27,1,0.41,0.44,33.24
NWO-1006,CUST_DIRECT,PROMO_5033,2025-02-03,1,0.41,0.35,33.24
NWO-1006,CUST_DIRECT,PROMO_5033,2025-02-10,1,0.41,0.4,33.24
NWO-1006,CUST_CLUB,PROMO_5034,2024-12-02,1,0.72,0.76,34.12
NWO-1006,CUST_CLUB,PROMO_5034,2024-12-09,1,0.72,0.71,34.12
NWO-1006,CUST_STREAM,PROMO_5035,2025-07-28,1,0.31,0.27,29.31
NWO-1006,CUST_STREAM,PROMO_5036,2023-06-19,1,0.53,0.42,30.18
NWO-1007,CUST_MEGA,PROMO_5037,2026-07-20,1,0.25,,
NWO-1007,CUST_CLUB,PROMO_5038,2026-02-09,1,0.77,0.76,68.87
NWO-1007,CUST_CLUB,PROMO_5038,2026-02-16,1,0.77,0.8,68.87
NWO-1008,CUST_DIRECT,PROMO_5039,2023-07-31,1,0.25,0.22,455.91
NWO-1008,CUST_DIRECT,PROMO_5039,2023-08-07,1,0.25,0.26,455.91
NWO-1008,CUST_DIRECT,PROMO_5039,2023-08-14,1,0.25,0.27,455.91
NWO-1008,CUST_STREAM,PROMO_5040,2026-04-27,1,0.88,0.9,483.05
NWO-1008,CUST_STREAM,PROMO_5040,2026-05-04,1,0.88,0.87,483.05
NWO-1008,CUST_STREAM,PROMO_5040,2026-05-11,1,0.88,0.87,483.05
NWO-1008,CUST_DIRECT,PROMO_5041,2024-12-30,1,0.43,0.44,385.35
NWO-1008,CUST_DIRECT,PROMO_5042,2026-04-20,1,0.38,0.33,412.49
NWO-1008,CUST_DIRECT,PROMO_5042,2026-04-27,1,0.38,0.39,412.49
NWO-1008,CUST_DIRECT,PROMO_5042,2026-05-04,1,0.38,0.43,412.49
NWO-1008,CUST_DIRECT,PROMO_5043,2024-08-26,1,0.36,0.39,434.2
NWO-1008,CUST_DIRECT,PROMO_5044,2025-05-05,1,0.3,0.35,483.05
NWO-1008,CUST_STREAM,PROMO_5045,2025-03-10,1,0.6,0.49,477.62
NWO-1008,CUST_DIRECT,PROMO_5046,2025-10-06,1,0.45,0.41,455.91
NWO-1009,CUST_CLUB,PROMO_5047,2023-06-26,1,0.54,0.56,310.35
NWO-1009,CUST_STREAM,PROMO_5048,2024-11-18,1,0.69,0.62,325.13
NWO-1009,CUST_STREAM,PROMO_5048,2024-11-25,1,0.69,0.68,325.13
NWO-1009,CUST_MEGA,PROMO_5049,2025-02-17,1,0.24,0.26,408.87
NWO-1009,CUST_MEGA,PROMO_5049,2025-02-24,1,0.24,0.3,408.87
NWO-1009,CUST_MEGA,PROMO_5050,2026-09-07,1,0.45,,
NWO-1009,CUST_STREAM,PROMO_5051,2026-06-08,1,0.81,,
NWO-1009,CUST_STREAM,PROMO_5051,2026-06-15,1,0.81,,
NWO-1009,CUST_STREAM,PROMO_5051,2026-06-22,1,0.81,,
NWO-1010,CUST_STREAM,PROMO_5052,2025-05-19,1,0.33,0.34,95.73
NWO-1010,CUST_STREAM,PROMO_5052,2025-05-26,1,0.33,0.47,95.73
NWO-1010,CUST_STREAM,PROMO_5052,2025-06-02,1,0.33,0.4,95.73
NWO-1010,CUST_MEGA,PROMO_5053,2024-03-04,1,0.48,0.38,84.94
